Room,Month,RM ARR,RM NIGHTS,ROOM REV,ADR,,,,
712,December,1,4,832.3,208.08,,,,
714,January,9,14,"1,884.79",134.63,,,,
714,February,16,20,"2,773.46",138.67,,,,
714,March,17,26,"3,578.13",137.62,,,,
714,April,12,20,"3,017.00",150.85,,,,
714,May,9,23,"3,962.94",172.3,,,,
714,June,13,20,"3,474.55",173.73,,,,
714,July,16,20,"3,178.92",158.95,,,,
714,August,17,28,"4,926.79",175.96,,,,
714,September,16,22,"3,812.09",173.28,,,,
714,October,19,23,"3,528.60",153.42,,,,
714,November,16,25,"3,387.19",135.49,,,,
714,December,13,21,"2,267.52",107.98,,,,
716,January,10,15,"2,182.84",145.52,,,,
716,February,17,22,"3,052.98",138.77,,,,
716,March,17,24,"3,519.58",146.65,,,,
716,April,18,22,"3,453.09",156.96,,,,
716,May,14,21,"3,737.80",177.99,,,,
716,June,15,20,"2,970.90",148.55,,,,
716,July,14,22,"3,174.58",144.3,,,,
716,August,13,22,"4,118.80",187.22,,,,
716,September,8,22,"3,562.77",161.94,,,,
716,October,17,25,"3,910.70",156.43,,,,
716,November,16,21,"3,154.75",150.23,,,,
716,December,15,20,"2,414.47",120.72,,,,
718,January,9,16,"1,889.88",118.12,,,,
718,February,14,17,"2,444.96",143.82,,,,
718,March,15,24,"2,970.94",123.79,,,,
718,April,17,23,"3,768.05",163.83,,,,
718,May,16,24,"3,476.33",144.85,,,,
718,June,14,22,"3,576.18",162.55,,,,
718,July,17,21,"3,398.20",161.82,,,,
718,August,20,26,"4,067.60",156.45,,,,
718,September,14,21,"3,332.56",158.69,,,,
718,October,16,25,"4,659.37",186.37,,,,
718,November,19,23,"3,210.35",139.58,,,,
718,December,15,19,"2,811.79",147.99,,,,
720,January,3,4,523,130.75,,,,
720,February,10,14,"1,885.49",134.68,,,,
720,March,9,18,"2,243.33",124.63,,,,
720,April,7,16,"2,159.31",134.96,,,,
720,May,10,14,"2,083.22",148.8,,,,
720,June,12,17,"3,006.81",176.87,,,,
720,July,11,17,"2,529.25",148.78,,,,
720,August,11,14,"2,519.21",179.94,,,,
720,September,7,13,"2,197.67",169.05,,,,
720,October,12,22,"3,527.77",160.35,,,,
720,November,15,18,"2,593.63",144.09,,,,
720,December,10,14,"1,878.16",134.15,,,,
721,January,8,8,"1,738.74",217.34,,,,
721,February,14,15,"3,424.38",228.29,,,,
721,March,10,12,"2,540.34",211.69,,,,
721,April,8,14,"3,281.02",234.36,,,,
721,May,13,18,"4,537.95",252.11,,,,
721,June,14,15,"3,699.03",246.6,,,,
721,July,12,15,"3,644.60",242.97,,,,
721,August,7,10,"2,810.16",281.02,,,,
721,September,10,15,"4,059.19",270.61,,,,
721,October,15,17,"4,247.34",249.84,,,,
721,November,13,17,"4,335.10",255.01,,,,
721,December,12,17,"3,775.50",222.09,,,,
722,January,4,5,677,135.4,,,,
722,February,8,13,"1,998.16",153.7,,,,
722,March,11,12,"1,493.67",124.47,,,,
722,April,7,15,"2,159.39",143.96,,,,
722,May,12,16,"2,145.08",134.07,,,,
722,June,10,15,"2,228.52",148.57,,,,
722,July,11,17,"3,025.79",177.99,,,,
722,August,12,19,"3,159.18",166.27,,,,
722,September,10,13,"2,296.57",176.66,,,,
722,October,13,21,"3,309.88",157.61,,,,
722,November,16,17,"2,919.78",171.75,,,,
722,December,6,8,996.23,124.53,,,,
723,January,14,19,"2,491.82",131.15,,,,
723,February,17,21,"3,056.88",145.57,,,,
723,March,18,27,"3,237.77",119.92,,,,
723,April,16,25,"3,965.80",158.63,,,,
723,May,17,27,"4,294.57",159.06,,,,
723,June,13,23,"3,777.98",164.26,,,,
723,July,13,22,"3,372.96",153.32,,,,
723,August,15,27,"4,700.24",174.08,,,,
723,September,14,19,"2,838.29",149.38,,,,
723,October,15,23,"3,396.78",147.69,,,,
723,November,19,22,"3,559.04",161.77,,,,
723,December,12,18,"2,653.87",147.44,,,,
724,January,9,21,"2,595.72",123.61,,,,
724,February,18,24,"3,613.56",150.57,,,,
